id,name,type,sex,age,party,representation,position,state
MatthiasPlatzeck,Matthias Platzeck,0,1,4,2,1,1,1
RonaldPofalla,Ronald Pofalla,0,1,4,1,1,1,2
BarbaraPraetorius,Barbara Praetorius,0,2,3,7,4,1,10
StanislawTillich,Stanislaw Tillich,0,1,4,1,1,1,3
GerdaHasselfeldt,Gerda Hasselfeldt,0,2,4,6,1,2,4
SteffenKampeter,Steffen Kampeter,0,1,3,1,2,2,2
StefanKapferer,Stefan Kapferer,0,1,3,4,2,2,5
DieterKempf,Dieter Kempf,0,1,4,7,2,2,4
ClaudiaNemat,Claudia Nemat,0,2,3,7,2,2,2
KatherinaReiche,Katherina Reiche,0,2,2,1,2,2,1
GundaRoestel,Gunda Roestel,0,2,3,3,2,2,3
EricSchweitzer,Eric Schweitzer,0,1,3,4,2,2,10
AntjeGrothus,Antje Grothus,0,2,3,5,5,2,2
HanneloreWodtke,Hannelore Wodtke,0,2,4,1,5,2,1
ChristineHerntier,Christine Herntier,0,2,4,7,5,2,1
MichaelKreuzberg,Michael Kreuzberg,0,1,4,1,5,2,2
ReinerPriggen,Reiner Priggen,0,1,4,3,5,2,2
MichaelVassiliadis,Michael Vassiliadis,0,1,3,2,3,2,2
AndreasScheidt,Andreas Scheidt,0,1,3,2,3,2,2
StefanKoerzell,Stefan Koerzell,0,1,3,2,3,2,6
MartinKaiser,Martin Kaiser,0,1,3,7,4,2,9
HubertWeiger,Hubert Weiger,0,1,4,7,4,2,4
KaiNiebert,Kai Niebert,0,1,1,7,4,2,7
JuttaAllmendinger,Jutta Allmendinger,0,2,4,7,6,2,5
FelixMatthes,Felix Matthes,0,1,3,7,6,2,10
HansJoachim,Hans Joachim Schellnhuber,0,1,4,7,6,2,4
AnnekathrinNiebuhr,Annekathrin Niebuhr,0,2,3,7,6,2,8
RalfWehrspohn,Ralf Wehrspohn,0,1,2,7,6,2,8
AndreasLaemmel,Andreas Laemmel,0,1,3,1,1,3,3
AndreasLenz,Andreas Lenz,0,1,1,6,2,3,4
MatthiasMiersch,Matthias Miersch,0,1,2,2,4,3,7
ViertesEuParl,Viertes Europaeisches Parlament,1,99,99,99,99,99,99
ZDFVerwaltungsrat,ZDF Verwaltungsrat,1,99,99,99,99,99,99
FlughafenBBGmbH,Flughafen Berlin Brandenburg GmbH,1,99,99,99,99,99,99
DeutschRussischForum,Das Deutsch Russische Forum,1,99,99,99,99,99,99
Bundestag,Bundestag,1,99,99,99,99,99,99
GemeinderatWeeze,Gemeinderat Weeze,1,99,99,99,99,99,99
VerbKommUntern,Verband Kommunaler Unternehmen,1,99,99,99,99,99,99
AgoraEnergiewende,Agora Energiewende,1,99,99,99,99,99,99
HTWBerlin,HTW Berlin,1,99,99,99,99,99,10
BraunkohleUnternMIBRAG,Braunkohle Unternehmen MIBRAG,1,99,99,99,99,99,99
RatKamenz,Rat des Kreises Kamenz,1,99,99,99,99,99,99
FrauenUnion,Frauen Union,1,99,99,99,99,99,99
BundesFinMin,Bundesfinanzministerium,1,99,99,99,99,99,99
StiftungsratKulturstiftung,Stiftungsrat der Kulturstiftung,1,99,99,99,99,99,99
