from,to
AndreasLaemmel,CDU
AndreasLaemmel,PKM
AndreasLaemmel,MIT
AndreasLaemmel,NeuesForum
AndreasLenz,CSU
AndreasLenz,PBNE
AndreasLenz,EUD
AndreasScheidt,DienstleistungsgewerkschaftVerdi
AndreasScheidt,WuppertalerStadtwerke
AndreasScheidt,EON
AndreasScheidt,SPD
AnnekatrinNiebuhr,UniKiel
AnnekatrinNiebuhr,HWWA
AnnekatrinNiebuhr,IABNord
AntjeGrothus,Tierschutzpartei
AntjeGrothus,KlimaAllianzDeutschland
BarbaraPraetorius,HTWBerlin
BarbaraPraetorius,VerbandkommunalerUnternehmen
BarbaraPraetorius,AgoraEnergiewende
ChristineHerntier,SprembergerTuche
ClaudiaNemat,Telekom
ClaudiaNemat,Lanxess
ClaudiaNemat,Airbus
DieterKempf,BDI
DieterKempf,DATEV
DieterKempf,DsiN
DieterKempf,GVB
DieterKempf,DeutscheMesse
DieterKempf,CyberSicherheitsrat
DieterKempf,Bitkom
EricSchweizer,FDP
EricSchweizer,DIHT
EricSchweizer,IHKBerlin
EricSchweizer,FEAD
EricSchweizer,BerlinPartner
EricSchweizer,RNE
FelixMatthes,OekoInstitut
FelixMatthes,EKNE
GerdaHasselfeldt,CSU
GerdaHasselfeldt,DRK
GerdaHasselfeldt,FrauenUnion
GerdaHasselfeldt,DeutscherBundestag
GundaRoestel,DieGruenen
GundaRoestel,SD
GundaRoestel,EnBW
GundaRoestel,Gelsenwasser
GundaRoestel,NeuesForum
HanneloreWodtke,CDU
HanneloreWodtke,GZW
HansJoachimSchellnhuber,PIK
HansJoachimSchellnhuber,WBGU
HansJoachimSchellnhuber,IPCC
HansJoachimSchellnhuber,SRC
HubertWeiger,BUND
HubertWeiger,RNE
HubertWeiger,VDW
HubertWeiger,BALR
HubertWeiger,BSUGV
JuttaAllmendinger,WZB
JuttaAllmendinger,BHU
JuttaAllmendinger,DGS
JuttaAllmendinger,IAB
JuttaAllmendinger,MPIB
KaiNiebert,DNR
KaiNiebert,Naturfreunde
KaiNiebert,DBU
KatherinaReiche,CDU
KatherinaReiche,DeutscherBundestag
KatherinaReiche,FrauenUnion
KatherinaReiche,EON
MartinKaiser,Greenpeace
MatthiasMiersch,SPD
MatthiasMiersch,DeutscherBundestag
MatthiasMiersch,AUNR
MatthiasPlatzeck,SPD
MatthiasPlatzeck,ZDF
MatthiasPlatzeck,FlughafenBerlinBrandenburgGmbH
MatthiasPlatzeck,DeutschRussischeForum
MatthiasPlatzeck,DeutscherBundestag
MichaelKreuzberg,CDU
MichaelKreuzberg,KreissparkasseKoeln
MichaelKreuzberg,MetropolregionRheinland
MichaelKreuzberg,NaturparkRheinland
MichaelKreuzberg,ZRR
MichaelVassiliadis,IGBCE
MichaelVassiliadis,SPD
MichaelVassiliadis,BAPP
MichaelVassiliadis,CARE
MichaelVassiliadis,SNV
RalfWehrspohn,FrauenhoferInstitut
RalfWehrspohn,MPIM
RalfWehrspohn,SM
RalfWehrspohn,FG
ReinerPriggen,DieGruenen
ReinerPriggen,LEENRW
ReinerPriggen,LL
ReinerPriggen,LandtagNW
RonaldPofalla,DeutscheBahn
RonaldPofalla,Bundeskanzleramt
RonaldPofalla,CDU
RonaldPofalla,GemeinderatWeeze
RonaldPofalla,DeutscherBundestag
StanislawTillich,CDU
StanislawTillich,MIBRAG
StanislawTillich,RKK
StanislawTillich,EP
StanislawTillich,DeutscherBundestag
StefanKapferer,FDP
StefanKapferer,BDEW
StefanKapferer,DEA
StefanKapferer,BundesministeriumfuerGesundheit
StefanKeorzel,SPD
StefanKeorzel,DGB
StefanKeorzel,DR
StefanKeorzel,HR
SteffenKampeter,CDU
SteffenKampeter,BDA
SteffenKampeter,StiftungsratderKulturstiftung
SteffenKampeter,Bundesfinanzministerium
SteffenKampeter,DeutscherBundestag
