id,name,type,sex,age,party,representation,position,state
AgoraEnergiewende,Agora Energiewende,1,99,0,7,99,99,99
Airbus,Airbus SE,1,99,0,7,99,99,99
AndreasLaemmel,Andreas Laemmel,0,1,3,1,1,3,3
AndreasLenz,Andreas Lenz,0,1,1,6,2,3,4
AndreasScheidt,Andreas Scheidt,0,1,3,2,3,2,2
AnnekatrinNiebuhr,Annekatrin Niebuhr,0,2,3,7,6,2,8
AntjeGrothus,Antje Grothus,0,2,3,5,5,2,2
AUNR,Ausschuss fuer Umwelt Naturschutz und Reaktorsicherheit,1,99,0,7,99,99,99
BALR,Bayerische Akademie Laendlicher Raum,1,99,0,7,99,99,4
BAPP,Bonner Akademie fuer Forschung und Lehre praktischer Politik,1,99,0,7,99,99,2
BarbaraPraetorius,Barbara Praetorius,0,2,3,7,4,1,10
BDA,Bundesvereinigung der Deutschen Arbeitgeberverbaende,1,99,0,7,99,99,99
BDEW,Bundesverband der Energie und Wasserwirtschaft,1,99,0,7,99,99,99
BDI,Bundesverband der Deutschen Industrie,1,99,0,7,99,99,99
BerlinPartner,Berlin Partner GmbH,1,99,0,7,99,99,10
BHU,Berliner Humboldt Universitaet,1,99,0,7,99,99,10
Bitkom,Bitkom,1,99,0,7,99,99,99
BSUGV,Bayerisches Staatsministerium fuer Umwelt Gesundheit und Verbraucherschutz,1,99,0,7,99,99,4
BUND,Bund fuer Umwelt und Naturschutz Deutschland,1,99,0,7,99,99,99
Bundesfinanzministerium,Bundesfinanzministerium,1,99,0,7,99,99,99
Bundeskanzleramt,Bundeskanzleramt,1,99,0,7,99,99,99
BundesministeriumfuerGesundheit,Bundesministerium fuer Gesundheit,1,99,0,7,99,99,99
CARE,Hilfsorganisation CARE Deutschland,1,99,0,7,99,99,99
CDU,CDU,1,99,0,1,99,99,99
ChristineHerntier,Christine Herntier,0,2,4,7,5,2,1
ClaudiaNemat,Claudia Nemat,0,2,3,7,2,2,2
CSU,CSU,1,99,0,6,99,99,99
CyberSicherheitsrat,nationaler Cyber Sicherheitsrat,1,99,0,7,99,99,99
DATEV,DATEV eG,1,99,0,7,99,99,99
DBU,Deutsche Bundesstiftung Umwelt,1,99,0,7,99,99,99
DEA,Deutsche Energie Agentur,1,99,0,7,99,99,99
